sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
0,217,0.834615,0.000000
1,218,0.838462,0.003846
2,219,0.842308,0.007692
3,220,0.846154,0.011538
4,221,0.850000,0.015385
5,222,0.853846,0.019231
6,223,0.857692,0.023077
7,224,0.861538,0.026923
8,225,0.865385,0.030769
9,226,0.869231,0.034615
10,227,0.873077,0.038462
11,228,0.876923,0.042308
12,229,0.880769,0.046154
13,230,0.884615,0.050000
14,231,0.888462,0.053846
15,232,0.892308,0.057692
16,233,0.896154,0.061538
17,234,0.900000,0.065385
18,235,0.903846,0.069231
19,236,0.907692,0.073077
20,237,0.911538,0.076923
21,238,0.915385,0.080769
22,239,0.919231,0.084615
23,240,0.923077,0.088462
24,241,0.926923,0.092308
25,242,0.930769,0.096154
26,243,0.934615,0.100000
27,244,0.938462,0.103846
28,245,0.942308,0.107692
29,246,0.946154,0.111538
30,247,0.950000,0.115385
31,248,0.953846,0.119231
32,249,0.957692,0.123077
33,250,0.961538,0.126923
34,251,0.965385,0.130769
35,252,0.969231,0.134615
36,253,0.973077,0.138462
37,254,0.976923,0.142308
38,255,0.980769,0.146154
39,256,0.984615,0.150000
40,257,0.988462,0.153846
41,258,0.992308,0.157692
42,259,0.996154,0.161538
43,260,1.000000,0.165385
44,261,1.003846,0.169231
45,262,1.007692,0.173077
46,263,1.011538,0.176923
47,264,1.015385,0.180769
48,265,1.019231,0.184615
49,266,1.023077,0.188462
50,267,1.026923,0.192308
51,268,1.030769,0.196154
52,269,1.034615,0.200000
53,270,1.038462,0.203846
54,271,1.042308,0.207692
55,272,1.046154,0.211538
56,273,1.050000,0.215385
57,274,1.053846,0.219231
58,275,1.057692,0.223077
59,276,1.061538,0.226923
60,277,1.065385,0.230769
61,278,1.069231,0.234615
62,279,1.073077,0.238462
63,280,1.076923,0.242308
64,281,1.080769,0.246154
65,282,1.084615,0.250000
66,283,1.088462,0.253846
67,284,1.092308,0.257692
68,285,1.096154,0.261538
69,286,1.100000,0.265385
70,287,1.103846,0.269231
71,288,1.107692,0.273077
72,289,1.111538,0.276923
73,290,1.115385,0.280769
74,291,1.119231,0.284615
75,292,1.123077,0.288462
