sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
0,965,3.711538,0.000000
1,966,3.715385,0.003846
2,967,3.719231,0.007692
3,968,3.723077,0.011538
4,969,3.726923,0.015385
5,970,3.730769,0.019231
6,971,3.734615,0.023077
7,972,3.738462,0.026923
8,973,3.742308,0.030769
9,974,3.746154,0.034615
10,975,3.750000,0.038462
11,976,3.753846,0.042308
12,977,3.757692,0.046154
13,978,3.761538,0.050000
14,979,3.765385,0.053846
15,980,3.769231,0.057692
16,981,3.773077,0.061538
17,982,3.776923,0.065385
18,983,3.780769,0.069231
19,984,3.784615,0.073077
20,985,3.788462,0.076923
21,986,3.792308,0.080769
22,987,3.796154,0.084615
23,988,3.800000,0.088462
24,989,3.803846,0.092308
25,990,3.807692,0.096154
26,991,3.811538,0.100000
27,992,3.815385,0.103846
28,993,3.819231,0.107692
29,994,3.823077,0.111538
30,995,3.826923,0.115385
31,996,3.830769,0.119231
32,997,3.834615,0.123077
33,998,3.838462,0.126923
34,999,3.842308,0.130769
35,1000,3.846154,0.134615
36,1001,3.850000,0.138462
37,1002,3.853846,0.142308
38,1003,3.857692,0.146154
39,1004,3.861538,0.150000
40,1005,3.865385,0.153846
41,1006,3.869231,0.157692
42,1007,3.873077,0.161538
43,1008,3.876923,0.165385
44,1009,3.880769,0.169231
45,1010,3.884615,0.173077
46,1011,3.888462,0.176923
47,1012,3.892308,0.180769
48,1013,3.896154,0.184615
49,1014,3.900000,0.188462
50,1015,3.903846,0.192308
51,1016,3.907692,0.196154
52,1017,3.911538,0.200000
53,1018,3.915385,0.203846
54,1019,3.919231,0.207692
55,1020,3.923077,0.211538
56,1021,3.926923,0.215385
57,1022,3.930769,0.219231
58,1023,3.934615,0.223077
59,1024,3.938462,0.226923
60,1025,3.942308,0.230769
61,1026,3.946154,0.234615
62,1027,3.950000,0.238462
63,1028,3.953846,0.242308
64,1029,3.957692,0.246154
65,1030,3.961538,0.250000
66,1031,3.965385,0.253846
67,1032,3.969231,0.257692
68,1033,3.973077,0.261538
69,1034,3.976923,0.265385
70,1035,3.980769,0.269231
71,1036,3.984615,0.273077
72,1037,3.988462,0.276923
73,1038,3.992308,0.280769
74,1039,3.996154,0.284615
75,1040,4.000000,0.288462
76,1041,4.003846,0.292308
77,1042,4.007692,0.296154
78,1043,4.011538,0.300000
79,1044,4.015385,0.303846
